,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,heart_disease_mortality_per_100k,health__pct_excessive_drinking
1357,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Recreation,0.473,0.094,0.174,0.073,0.5,0.206,0.223,0.017,0.001,0.784,0.168,0.005,0.089020772,0.34322453,0.34520277,0.222551929,10,14,0.262,0.278,0.101,0.07,0.237,11,33.54,1290,819,b,257,0.255
1358,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.48,0.067,0.218,0.112,0.483,0.184,0.213,0.04,0.004,0.937,0.008,0.003,0.064612326,0.288270378,0.346918489,0.300198807,8,7,0.231,0.182,0.082,0.065,0.208,10,19.44,1370,559,a,170,0.163
1359,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.469,0.066,0.206,0.064,0.527,0.23,0.137,0.041,0.369,0.572,0.006,0.003,0.128672746,0.334346505,0.281661601,0.255319149,13,9,0.369,0.194,0.14,0.097,0.314,14,18.06,1610,720,b,303,0.1
1360,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.537,0.062,0.177,0.075,0.501,0.247,0.146,0.058,0.039,0.857,0.01,0.017,0.132930514,0.306143001,0.271903323,0.289023162,12,8,0.3,0.219,0.1,0.069,0.261,13,14.11,7389,2649,b,205,0.139
1361,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.383,0.107,0.322,0.11,0.515,0.279,0.125,0.547,0.038,0.352,0.047,0.018,0.291750503,0.245472837,0.328973843,0.133802817,15,7,0.276,0.135,0.084,0.051,0.192,10,20.7,2300,2169,a,254,0.145
1362,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.582,0.029,0.277,0.155,0.513,0.278,0.101,0.385,0.055,0.518,0.006,0.017,0.167004049,0.237854251,0.342105263,0.253036437,18,7,0.284,0.193,0.075,0.077,0.278,10,18.25,2179,1709,b,257,0.171
1363,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.426,0.049,0.167,0.056,0.476,0.209,0.149,0.023,0.068,0.896,0.007,0.006,0.135912698,0.423611111,0.304563492,0.135912698,11,11,0.348,0.253,0.122,0.083,0.34,14,12.47,1729,2640,a,295,0.183
1364,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.487,0.064,0.164,0.042,0.524,0.215,0.195,0.042,0.271,0.648,0.001,0.016,0.159959759,0.378269618,0.261569416,0.200201207,11,12,0.352,0.176,0.145,0.103,0.305,12,16.33,2169,2320,a,298,0.159
1365,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.393,0.04,0.298,0.145,0.386,0.202,0.135,0.158,0.207,0.604,0,0.008,0.199199199,0.374374374,0.315315315,0.111111111,10,11,0.354,0.217,0.107,0.076,0.293,9,25.81,3860,2419,a,337,0.265
1366,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.407,0.065,0.224,0.095,0.508,0.239,0.191,0.013,0.012,0.949,0.017,0.006,0.158811475,0.395491803,0.302254098,0.143442623,12,13,0.321,0.266,0.12,0.067,0.294,11,27.5,2880,1259,a,331,0.115
1367,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.423,0.074,0.261,0.094,0.528,0.228,0.18,0.008,0.3,0.683,0.004,0.009,0.205970149,0.336318408,0.325373134,0.132338308,11,12,0.349,0.158,0.147,0.125,0.339,12,29.24,2820,2800,b,304,0.112
1368,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.609,0.021,0.161,0.07,0.479,0.16,0.247,0.014,0.003,0.968,0.006,0.007,0.105577689,0.410358566,0.262948207,0.221115538,11,6,0.337,0.145,0.092,0.067,0.348,9,42.71,4179,3150,a,170,0.216
1369,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.423,0.078,0.218,0.064,0.515,0.252,0.13,0.027,0.032,0.933,0,0.005,0.18071066,0.388832487,0.259898477,0.170558376,14,9,0.333,0.253,0.11,0.099,0.299,13,23.61,1810,2049,b,321,0.101
1370,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.362,0.065,0.227,0.099,0.497,0.335,0.128,0.012,0.002,0.427,0.545,0,0.142572283,0.333000997,0.379860419,0.144566301,23,12,0.361,0.349,0.107,0.078,0.337,10,63.08,5020,3150,b,308,0.214
1371,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.482,0.049,0.214,0.059,0.511,0.245,0.128,0.037,0.066,0.851,0.006,0.017,0.134387352,0.380434783,0.295454545,0.18972332,13,9,0.345,0.266,0.117,0.088,0.276,13,16.04,2170,2489,a,289,0.136
1372,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.53,0.069,0.228,0.07,0.514,0.253,0.087,0.122,0.298,0.505,0,0.048,0.108870968,0.182459677,0.280241935,0.428427419,14,6,0.248,0.134,0.089,0.099,0.206,13,9.73,1559,1150,b,210,0.162
1373,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.498,0.058,0.399,0.142,0.511,0.21,0.153,0.666,0.17,0.157,0.001,0.015,0.195367573,0.291037261,0.24672709,0.266868077,12,8,0.213,0.119,0.086,0.082,0.209,11,11.96,1749,1280,a,224,0.126
1374,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.498,0.066,0.412,0.147,0.518,0.211,0.147,0.648,0.173,0.15,0,0.01,0.203406814,0.280561122,0.244488978,0.271543086,12,7,0.224,0.118,0.092,0.098,0.235,11,12.39,1869,1269,b,225,0.129
1375,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.541,0.038,0.175,0.074,0.493,0.253,0.169,0.048,0.002,0.858,0.083,0.005,0.059296482,0.407035176,0.349748744,0.183919598,12,9,0.359,0.273,0.101,0.069,0.291,8,32.26,3389,1489,b,289,0.138
1376,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.439,0.069,0.249,0.087,0.517,0.168,0.24,0.084,0.01,0.83,0.034,0.017,0.113095238,0.277777778,0.371031746,0.238095238,9,12,0.29,0.238,0.128,0.062,0.176,9,12.14,1849,1770,a,233,0.191
1377,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.465,0.027,0.198,0.112,0.502,0.349,0.063,0.104,0,0.843,0,0.017,0.067460317,0.163690476,0.392857143,0.375992063,21,4,0.231,0.059,0.058,0.064,0.149,12,8.25,1589,2250,b,237,0.047
1378,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.421,0.089,0.24,0.074,0.519,0.236,0.162,0.015,0.359,0.592,0.005,0.002,0.210682493,0.354104847,0.286844708,0.148367953,12,14,0.379,0.237,0.133,0.106,0.285,12,29.21,6509,4059,a,351,0.156
1379,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.512,0.046,0.15,0.07,0.495,0.235,0.142,0.016,0,0.954,0.004,0.002,0.087487284,0.407934893,0.312309257,0.192268566,10,9,0.317,0.245,0.111,0.077,0.277,13,14.66,6229,2160,a,251,0.145
1380,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.502,0.051,0.159,0.071,0.491,0.268,0.148,0.032,0.024,0.921,0.016,0.002,0.097782258,0.405241935,0.328629032,0.168346774,13,8,0.305,0.227,0.084,0.064,0.264,12,12.24,2259,1610,a,262,0.263
1381,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.352,0.13,0.179,0.067,0.494,0.319,0.129,0.043,0,0.12,0.859,0,0.091724826,0.442671984,0.295114656,0.170488534,20,10,0.406,0.463,0.128,0.085,0.313,11,46.67,1100,1439,b,281,0.203
1382,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.44,0.08,0.177,0.045,0.48,0.233,0.15,0.028,0.021,0.925,0.008,0.004,0.124877089,0.394296952,0.34906588,0.131760079,12,9,0.312,0.235,0.086,0.058,0.23,12,17.2,2650,2740,b,293,0.138
1383,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.496,0.058,0.168,0.056,0.508,0.221,0.162,0.017,0.078,0.875,0,0.009,0.103482587,0.385074627,0.295522388,0.215920398,11,11,0.314,0.219,0.126,0.09,0.265,14,8.5,1730,1270,a,252,0.142
1384,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.517,0.058,0.159,0.075,0.484,0.199,0.187,0.006,0.011,0.978,0,0.008,0.112690355,0.47106599,0.248730964,0.16751269,9,10,0.322,0.307,0.132,0.072,0.277,12,21.78,4290,2690,b,288,0.194
1385,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.44,0.053,0.262,0.098,0.505,0.223,0.156,0.048,0.083,0.844,0.001,0.012,0.188679245,0.39225422,0.258192651,0.160873883,13,10,0.309,0.258,0.123,0.092,0.28,13,30.32,28050,5579,a,324,0.149
1386,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.336,0.087,0.253,0.066,0.442,0.25,0.126,0.062,0.57,0.36,0,0,0.242031873,0.361553785,0.260956175,0.135458167,14,11,0.421,0.242,0.133,0.129,0.36,12,21.71,4640,7040,a,345,0.111
1387,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.476,0.054,0.208,0.105,0.506,0.21,0.181,0.033,0.079,0.875,0.01,0.011,0.101090188,0.35777998,0.310208127,0.230921705,10,10,0.279,0.198,0.103,0.076,0.239,12,28.06,3749,2639,b,240,0.14
1388,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.491,0.066,0.279,0.068,0.497,0.267,0.159,0.303,0,0.656,0.025,0.02,0.18981019,0.282717283,0.356643357,0.170829171,13,8,0.268,0.149,0.094,0.056,0.196,11,10.37,1869,2810,a,204,0.135
1389,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.502,0.062,0.221,0.081,0.515,0.283,0.085,0.053,0.168,0.74,0.003,0.008,0.102409639,0.355421687,0.303212851,0.238955823,13,5,0.252,0.198,0.111,0.068,0.256,13,13.66,7270,7970,b,239,0.115
1390,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.53,0.041,0.226,0.12,0.485,0.246,0.089,0.079,0.049,0.609,0.077,0.093,0.075697211,0.243027888,0.360557769,0.320717131,16,6,0.266,0.164,0.065,0.059,0.179,8,7.45,949,1039,a,214,0.196
1391,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.417,0.051,0.256,0.069,0.508,0.252,0.144,0.063,0.007,0.863,0.024,0.018,0.143286573,0.388777555,0.325651303,0.142284569,13,10,0.354,0.224,0.106,0.077,0.328,11,16.92,6239,2060,b,345,0.138
1392,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.34,0.085,0.269,0.113,0.483,0.199,0.196,0.017,0.324,0.638,0.009,0,0.214501511,0.36858006,0.274924471,0.141993958,10,11,0.347,0.228,0.168,0.111,0.344,12,35.2,5190,5210,a,311,0.125
1393,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.46,0.084,0.21,0.053,0.536,0.221,0.201,0.028,0.488,0.464,0,0.008,0.212212212,0.279279279,0.335335335,0.173173173,13,15,0.34,0.245,0.121,0.122,0.321,13,14.52,1110,1039,b,320,0.106
1394,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.436,0.238,0.294,0.092,0.489,0.289,0.112,0.819,0.027,0.12,0.025,0.024,0.333001988,0.227634195,0.301192843,0.138170974,18,6,0.224,0.126,0.083,0.062,0.224,10,11.65,2990,4530,a,222,0.161
1395,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.452,0.065,0.166,0.055,0.495,0.213,0.17,0.011,0.093,0.857,0,0.002,0.120408163,0.412244898,0.310204082,0.157142857,12,11,0.312,0.25,0.106,0.091,0.285,14,8.71,1639,2120,b,280,0.123
1396,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.503,0.049,0.216,0.064,0.491,0.259,0.142,0.454,0.015,0.505,0.017,0.009,0.176233635,0.344410876,0.306143001,0.173212487,16,9,0.314,0.206,0.103,0.08,0.252,10,22.94,3079,2170,a,287,0.153
1397,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.514,0.051,0.228,0.069,0.504,0.257,0.137,0.446,0.009,0.516,0.014,0.004,0.169354839,0.341733871,0.315524194,0.173387097,15,11,0.286,0.214,0.099,0.072,0.278,10,24.37,3069,1859,b,287,0.138
1398,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.467,0.04,0.242,0.101,0.498,0.227,0.167,0.036,0.013,0.875,0.04,0.012,0.08250497,0.319085487,0.344930417,0.253479125,14,10,0.262,0.174,0.089,0.069,0.264,11,17.23,1200,1480,b,209,0.177
1399,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.509,0.058,0.123,0.039,0.512,0.219,0.124,0.086,0.238,0.614,0.005,0.045,0.09437751,0.282128514,0.270080321,0.353413655,12,8,0.266,0.16,0.086,0.093,0.234,12,9.92,1839,1209,b,242,0.213
1400,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.393,0.086,0.263,0.048,0.508,0.236,0.174,0.013,0.336,0.631,0.006,0.004,0.200601805,0.398194584,0.249749248,0.151454363,13,14,0.339,0.256,0.132,0.127,0.35,11,19.06,4680,1720,b,357,0.083
1401,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.37,0.077,0.255,0.073,0.521,0.254,0.152,0,0.511,0.447,0.005,0.008,0.196770938,0.341069627,0.297679112,0.164480323,14,13,0.381,0.273,0.146,0.134,0.348,11,30.46,2269,2019,b,362,0.101
1402,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.442,0.066,0.185,0.05,0.491,0.235,0.179,0.017,0.018,0.951,0.003,0,0.117938553,0.447968285,0.303270565,0.130822597,11,10,0.366,0.211,0.122,0.068,0.249,11,11.5,7749,2899,a,292,0.154
1403,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Farm-dependent,0.57,0.027,0.264,0.149,0.493,0.23,0.21,0.025,0.002,0.846,0.098,0.008,0.073558648,0.371769384,0.358846918,0.19582505,11,8,0.284,0.178,0.102,0.049,0.297,11,24.13,3810,1250,a,227,0.213
1404,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.523,0.035,0.244,0.163,0.496,0.193,0.214,0.019,0,0.944,0.009,0,0.067713445,0.283611384,0.3562316,0.292443572,8,8,0.257,0.152,0.071,0.054,0.243,11,39.18,3390,1670,b,187,0.165
1405,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.503,0.06,0.141,0.059,0.498,0.195,0.198,0.032,0.009,0.929,0.003,0.006,0.117412935,0.455721393,0.272636816,0.154228856,9,12,0.354,0.299,0.108,0.076,0.279,12,16.56,2489,2159,a,278,0.171
1406,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.505,0.067,0.276,0.094,0.502,0.238,0.096,0.09,0.441,0.41,0,0.066,0.091457286,0.179899497,0.24120603,0.487437186,13,6,0.226,0.139,0.076,0.109,0.193,13,11.52,1610,1030,b,257,0.183
1407,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.445,0.07,0.266,0.121,0.499,0.235,0.15,0.048,0.082,0.85,0.005,0.01,0.181181181,0.404404404,0.26026026,0.154154154,12,11,0.319,0.251,0.116,0.092,0.276,13,35.25,28130,5579,b,324,0.148
1408,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.484,0.059,0.149,0.066,0.499,0.196,0.222,0.015,0.015,0.946,0.007,0.004,0.114572864,0.407035176,0.322613065,0.155778894,9,13,0.276,0.234,0.093,0.073,0.217,11,20.34,1949,1149,a,249,0.236
1409,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.534,0.045,0.136,0.029,0.508,0.235,0.158,0.074,0.011,0.89,0.006,0.008,0.102868447,0.347181009,0.351137488,0.198813056,13,9,0.336,0.219,0.104,0.079,0.283,10,11.85,2100,2159,a,256,0.216
1410,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.389,0.097,0.263,0.054,0.548,0.284,0.142,0.009,0.754,0.226,0.002,0.001,0.234825871,0.272636816,0.312437811,0.180099502,16,12,0.439,0.24,0.169,0.177,0.392,12,25.94,2279,1419,a,410,0.123
1411,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.551,0.049,0.154,0.085,0.52,0.207,0.245,0.023,0.001,0.934,0.026,0.012,0.11988012,0.27972028,0.370629371,0.22977023,11,16,0.292,0.15,0.097,0.066,0.319,10,110.45,1219,3650,b,276,0.238
1412,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.392,0.082,0.287,0.064,0.499,0.241,0.155,0.012,0.285,0.659,0.017,0.006,0.278118609,0.41206544,0.215746421,0.09406953,13,11,0.386,0.267,0.142,0.11,0.358,10,23.87,4119,2970,a,383,0.135
